Fechas,TCN
1996-01-01,10.58
1996-02-01,10.8
1996-03-01,11.03
1996-04-01,11.18
1996-05-01,11.31
1996-06-01,11.64
1996-07-01,12.11
1996-08-01,12.41
1996-09-01,12.57
1996-10-01,12.71
1996-11-01,12.76
1996-12-01,12.93
1997-01-01,13.08
1997-02-01,12.94
1997-03-01,12.93
1997-04-01,12.97
1997-05-01,13.21
1997-06-01,13.23
1997-07-01,13.24
1997-08-01,13.24
1997-09-01,13.24
1997-10-01,13.25
1997-11-01,13.25
1997-12-01,13.26
1998-01-01,13.27
1998-02-01,13.32
1998-03-01,13.37
1998-04-01,13.36
1998-05-01,13.43
1998-06-01,13.48
1998-07-01,13.53
1998-08-01,13.58
1998-09-01,13.67
1998-10-01,13.73
1998-11-01,13.83
1998-12-01,13.92
1999-01-01,14.0
1999-02-01,14.06
1999-03-01,14.13
1999-04-01,14.19
1999-05-01,14.26
1999-06-01,14.33
1999-07-01,14.39
1999-08-01,14.43
1999-09-01,14.52
1999-10-01,14.56
1999-11-01,14.61
1999-12-01,14.66
2000-01-01,14.717142857142855
2000-02-01,14.786999999999999
2000-03-01,14.825239130434785
2000-04-01,14.871600000000003
2000-05-01,14.940004347826086
2000-06-01,14.97148181818182
2000-07-01,15.027819047619047
2000-08-01,15.080834782608695
2000-09-01,15.154284999999998
2000-10-01,15.212450000000004
2000-11-01,15.26625454545454
2000-12-01,15.3094
2001-01-01,15.326159090909094
2001-02-01,15.382760000000001
2001-03-01,15.429236363636363
2001-04-01,15.49106315789474
2001-05-01,15.544763636363633
2001-06-01,15.614957142857142
2001-07-01,15.67269047619048
2001-08-01,15.707995652173912
2001-09-01,15.765010000000004
2001-10-01,15.85787
2001-11-01,15.973861904761904
2001-12-01,16.049609999999998
2002-01-01,16.13207272727273
2002-02-01,16.24599
2002-03-01,16.324836842105267
2002-04-01,16.404085714285717
2002-05-01,16.480781818181818
2002-06-01,16.573970000000003
2002-07-01,16.642734782608695
2002-08-01,16.731040909090908
2002-09-01,16.824825
2002-10-01,16.925461904761907
2002-11-01,16.99622380952381
2002-12-01,17.068338095238094
2003-01-01,17.15261818181818
2003-02-01,17.23243
2003-03-01,17.305033333333334
2003-04-01,17.38123157894737
2003-05-01,17.430152380952382
2003-06-01,17.490542857142852
2003-07-01,17.563334782608695
2003-08-01,17.649809523809527
2003-09-01,17.726566666666667
2003-10-01,17.797268181818183
2003-11-01,17.875805
2003-12-01,17.930218181818177
2004-01-01,17.97802380952381
2004-02-01,18.058465
2004-03-01,18.14067826086956
2004-04-01,18.21842105263158
2004-05-01,18.301414285714287
2004-06-01,18.375172727272727
2004-07-01,18.447886363636368
2004-08-01,18.53768181818182
2004-09-01,18.62257619047619
2004-10-01,18.69554761904762
2004-11-01,18.750127272727273
2004-12-01,18.810217391304345
2005-01-01,18.88311904761905
2005-02-01,18.952090000000005
2005-03-01,18.996447619047622
2005-04-01,19.042223809523808
2005-05-01,19.011754545454547
2005-06-01,18.993845454545454
2005-07-01,18.99921904761905
2005-08-01,19.002295652173906
2005-09-01,19.012290476190472
2005-10-01,19.026339999999998
2005-11-01,19.027409090909092
2005-12-01,19.026863636363636
2006-01-01,19.027409523809528
2006-02-01,19.027340000000002
2006-03-01,19.027430434782612
2006-04-01,19.027382352941174
2006-05-01,19.02737272727273
2006-06-01,19.027272727272727
2006-07-01,19.026804761904764
2006-08-01,19.026769565217393
2006-09-01,19.027320000000003
2006-10-01,19.027205000000002
2006-11-01,19.0272
2006-12-01,19.02726
2007-01-01,19.02718181818182
2007-02-01,19.027220000000007
2007-03-01,19.026786363636365
2007-04-01,19.02717222222222
2007-05-01,19.02722272727273
2007-06-01,19.027014285714287
2007-07-01,19.02714545454546
2007-08-01,19.027062608695655
2007-09-01,19.027060000000002
2007-10-01,19.02706
2007-11-01,19.027200000000008
2007-12-01,19.02710555555555
2008-01-01,19.02721363636364
2008-02-01,19.02729523809524
2008-03-01,19.029305555555556
2008-04-01,19.03882272727273
2008-05-01,19.045454545454547
2008-06-01,19.03071428571429
2008-07-01,19.02761304347826
2008-08-01,19.02743333333333
2008-09-01,19.02740952380952
2008-10-01,19.02737619047619
2008-11-01,19.027380952380952
2008-12-01,19.02727727272727
2009-01-01,19.02732380952381
2009-02-01,19.027285
2009-03-01,19.02738181818182
2009-04-01,19.027394444444447
2009-05-01,19.027365000000003
2009-06-01,19.027286363636364
2009-07-01,19.02727391304348
2009-08-01,19.02704285714286
2009-09-01,19.027215
2009-10-01,19.02738
2009-11-01,19.02724285714286
2009-12-01,19.027156521739133
2010-01-01,19.027304761904766
2010-02-01,19.027335
2010-03-01,19.027321739130436
2010-04-01,19.027126315789477
2010-05-01,19.027328571428576
2010-06-01,19.027313636363644
2010-07-01,19.026586363636365
2010-08-01,19.02615454545455
2010-09-01,19.02627619047619
2010-10-01,19.026978947368423
2010-11-01,19.026234840055665
2010-12-01,19.02648695652174
2011-01-01,19.027161904761904
2011-02-01,19.02732
2011-03-01,19.027286956521742
2011-04-01,19.0272625
2011-05-01,19.027272727272727
2011-06-01,19.02731363636364
2011-07-01,18.999857142857145
2011-08-01,18.976995652173912
2011-09-01,19.057809523809524
2011-10-01,19.125638888888886
2011-11-01,19.11524090909091
2011-12-01,19.143457142857145
2012-01-01,19.21427142857143
2012-02-01,19.296152380952382
2012-03-01,19.37444545454545
2012-04-01,19.43998421052632
2012-05-01,19.513613636363637
2012-06-01,19.59254761904762
2012-07-01,19.67198636363636
2012-08-01,19.755047826086958
2012-09-01,19.834789307399603
2012-10-01,19.908726086956527
2012-11-01,19.98745454545455
2012-12-01,20.066145
2013-01-01,20.14215909090909
2013-02-01,20.219125
2013-03-01,20.28348333333333
2013-04-01,20.35689545454545
2013-05-01,20.442290909090914
2013-06-01,20.522789999999997
2013-07-01,20.59922173913044
2013-08-01,20.60196818181818
2013-09-01,20.668633333333332
2013-10-01,20.672628571428568
2013-11-01,20.694152380952385
2013-12-01,20.737766666666666
2014-01-01,20.77085909090909
2014-02-01,20.818285
2014-03-01,20.87539047619047
2014-04-01,20.919916666666666
2014-05-01,20.96597142857143
2014-06-01,21.06798571428572
2014-07-01,21.11122608695652
2014-08-01,21.20147142857143
2014-09-01,21.315411345848307
2014-10-01,21.43863
2014-11-01,21.505584999999996
2014-12-01,21.626259090909095
2015-01-01,21.757338095238097
2015-02-01,21.927895000000003
2015-03-01,21.988670000000003
2015-04-01,22.093894444444445
2015-05-01,22.09135
2015-06-01,22.07817272727273
2015-07-01,22.072556521739127
2015-08-01,22.134614285714292
2015-09-01,22.101642857142863
2015-10-01,22.192799999999995
2015-11-01,22.30009523809524
2015-12-01,22.44653181818182
2016-01-01,22.612015
2016-02-01,22.745595238095245
2016-03-01,22.784505555555555
2016-04-01,22.74838
2016-05-01,22.7662380952381
2016-06-01,22.90089113636364
2016-07-01,22.999314285714288
2016-08-01,23.049226086956523
2016-09-01,23.126376190476186
2016-10-01,23.243055555555554
2016-11-01,23.34273181818182
2016-12-01,23.620228571428566
2017-01-01,23.75250952380953
2017-02-01,23.732265
2017-03-01,23.696391304347827
2017-04-01,23.626559999999998
2017-05-01,23.634527272727272
2017-06-01,23.607795454545453
2017-07-01,23.599004761904762
2017-08-01,23.535952173913046
2017-09-01,23.54644
2017-10-01,23.63042352941176
2017-11-01,23.73324285714286
2017-12-01,23.722863157894732
2018-01-01,23.764049999999987
2018-02-01,23.728765
2018-03-01,23.78163157894737
2018-04-01,23.816995238095235
2018-05-01,23.96820909090909
2018-06-01,24.12022857142857
2018-07-01,24.154063636363638
2018-08-01,24.16560869565217
2018-09-01,24.207625
2018-10-01,24.24257777777778
2018-11-01,24.391972727272726
2018-12-01,24.49894736842105
2019-01-01,24.507613636363626
2019-02-01,24.554219999999997
2019-03-01,24.593866666666663
2019-04-01,24.604111764705884
2019-05-01,24.628700000000002
2019-06-01,24.676869999999997
2019-07-01,24.67097391304348
2019-08-01,24.71240909090909
2019-09-01,24.777831578947364
2019-10-01,24.807415789473687
2019-11-01,24.80931409523809
2019-12-01,24.817923809523812
2020-01-01,24.822081818181815
2020-02-01,24.844118580000004
2020-03-01,24.888227272727274
2020-04-01,24.97945
2020-05-01,25.004166666666666
2020-06-01,24.948890909090906
2020-07-01,24.85173913043478
2020-08-01,24.712809523809522
2020-09-01,24.654152380952382
2020-10-01,24.5688
2020-11-01,24.4552
2020-12-01,24.31771363636363
2021-01-01,24.265015000000005
2021-02-01,24.244670000000003
2021-03-01,24.19725
2021-04-01,24.181873684210526
2021-05-01,24.166294761904766
2021-06-01,24.132259090909088
2021-07-01,23.930936363636363
2021-08-01,23.926231818181815
2021-09-01,24.227162380952382
2021-10-01,24.25625
2021-11-01,24.275645454545455
2021-12-01,24.413608695652176
2022-01-01,24.599790476190474
2022-02-01,
2022-03-01,
2022-04-01,
2022-05-01,
2022-06-01,
2022-07-01,
2022-08-01,
2022-09-01,
2022-10-01,
2022-11-01,
2022-12-01,
